epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1016,1.77606,3.91574,1.70439,0.55746,0.34099,0.3113,0.17824,1.79609,3.98111,1.76835,0.00019343,0.00019343,0.00019343
2,34.7001,1.61455,2.16245,1.52307,0.6044,0.4206,0.48146,0.26813,1.72265,2.14957,1.73216,0.00038379,0.00038379,0.00038379
3,48.3853,1.7104,1.8242,1.53861,0.61475,0.47591,0.51957,0.24999,1.94354,2.1363,1.84004,0.000564245,0.000564245,0.000564245
4,61.3676,1.7512,1.81666,1.6784,0.81723,0.33245,0.52345,0.25488,1.90696,1.84469,1.88292,0.000617475,0.000617475,0.000617475
5,74.5334,1.65378,1.71756,1.52813,0.71571,0.41952,0.54484,0.25918,1.91463,1.79931,1.81391,0.000600967,0.000600967,0.000600967
6,87.5321,1.65166,1.57895,1.53792,0.74981,0.41916,0.57248,0.3224,1.77378,1.77679,1.72736,0.000584459,0.000584459,0.000584459
7,101.117,1.68165,1.58744,1.56032,0.73507,0.46958,0.60255,0.29457,1.8663,1.81272,1.83271,0.00056795,0.00056795,0.00056795
8,114.434,1.63706,1.42883,1.48319,0.50099,0.60941,0.59478,0.28687,1.95774,1.71588,1.83752,0.000551442,0.000551442,0.000551442
9,127.732,1.68449,1.52538,1.57752,0.51469,0.63699,0.62524,0.3545,1.91551,1.46966,1.80843,0.000534934,0.000534934,0.000534934
10,141.722,1.61532,1.39771,1.49544,0.57453,0.53099,0.60462,0.29937,1.89214,1.66155,1.7658,0.000518426,0.000518426,0.000518426
11,155.081,1.5764,1.32333,1.4841,0.60176,0.6645,0.68022,0.34292,1.7273,1.44544,1.63545,0.000501917,0.000501917,0.000501917
12,168.569,1.54781,1.25118,1.45893,0.61219,0.58544,0.67223,0.36912,1.70965,1.41746,1.61742,0.000485409,0.000485409,0.000485409
13,181.913,1.50896,1.26338,1.43569,0.68087,0.62691,0.7047,0.38353,1.7071,1.34265,1.61684,0.000468901,0.000468901,0.000468901
14,195.217,1.54819,1.29363,1.53386,0.60023,0.57794,0.68104,0.37564,1.75564,1.36308,1.68069,0.000452393,0.000452393,0.000452393
15,208.301,1.37821,1.10524,1.36558,0.7541,0.65798,0.74275,0.41475,1.62879,1.25477,1.55279,0.000435884,0.000435884,0.000435884
16,221.541,1.46586,1.20177,1.39565,0.62516,0.75348,0.74831,0.41876,1.62256,1.20134,1.53899,0.000419376,0.000419376,0.000419376
17,234.879,1.44811,1.18009,1.39986,0.69583,0.71544,0.76989,0.4239,1.65698,1.32036,1.55524,0.000402868,0.000402868,0.000402868
18,248.089,1.46101,1.15629,1.39704,0.70579,0.73813,0.76048,0.42209,1.61034,1.28184,1.52382,0.00038636,0.00038636,0.00038636
19,261.226,1.42448,1.14393,1.36766,0.81816,0.61417,0.72056,0.42871,1.63307,1.22222,1.59821,0.000369851,0.000369851,0.000369851
20,274.457,1.36229,1.03911,1.34364,0.83052,0.67262,0.79754,0.44148,1.6761,1.22875,1.60489,0.000353343,0.000353343,0.000353343
21,287.741,1.32716,0.97505,1.34051,0.76092,0.66977,0.75196,0.4321,1.63865,1.16538,1.54761,0.000336835,0.000336835,0.000336835
